20230531160251.1+0i,11.5509934723377+0i,9.7906807+0i,0.026021884+0i,2.0014087+0i,2.0353264+0i,-4.938e-06+0i,-4.714e-06+0i,0.0028026+0i,0.45788771+0i,1.3585812+0i,3.636932+0i,271.164+0i,291.964+0i,292.798+0i,292.338+0i,291.837+0i,11.5509934723377+0i,NaN+0i,20.9223029825388+0i,-5.39473333944079+0i,413.050142382213+0i,-0.0267228345994592+0i,27.171624+0i,271.164+0i,291.964+0i,291.837+0i,292.338+0i,291.837+0i,0+0.196857558443089i
20230531160252+0i,12.4059978872538+0i,9.8041306+0i,0.026215594+0i,1.9995726+0i,2.0360924+0i,4.377e-06+0i,6.73e-07+0i,0.12241152+0i,0.2204758+0i,1.3582995+0i,3.6539753+0i,271.118+0i,291.988+0i,292.806+0i,292.338+0i,291.532+0i,12.4059978872538+0i,NaN+0i,20.9596324660849+0i,-7.72223063358933+0i,422.740224943773+0i,-0.00735207047492947+0i,27.16599+0i,271.118+0i,291.988+0i,291.532+0i,292.338+0i,291.532+0i,0-0.0162417440845163i
20230531160252.8+0i,13.2499985396862+0i,9.8043559+0i,0.026428494+0i,1.998784+0i,2.0351913+0i,9.652e-06+0i,8.978e-06+0i,-0.41591193+0i,-0.29981552+0i,1.3594147+0i,3.6423953+0i,271.112+0i,291.994+0i,292.811+0i,292.338+0i,291.669+0i,13.2499985396862+0i,NaN+0i,20.9602577742762+0i,-8.72188444665289+0i,411.341095183689+0i,0.0139376702824525+0i,27.188294+0i,271.112+0i,291.994+0i,291.669+0i,292.338+0i,291.669+0i,-0.0239029424659639+0i
20230531160253.6+0i,14.0939991921186+0i,9.765662+0i,0.02615555+0i,2.0018705+0i,2.0350673+0i,1.571e-06+0i,3.37e-07+0i,0.29244498+0i,0.19912219+0i,1.3598653+0i,3.6495145+0i,271.06+0i,291.974+0i,292.772+0i,292.331+0i,291.526+0i,14.0939991921186+0i,NaN+0i,20.8528649086504+0i,-4.80934133985602+0i,409.772465630642+0i,-0.0133563973609614+0i,27.197306+0i,271.06+0i,291.974+0i,291.526+0i,292.331+0i,291.526+0i,0+0.437523764664463i
20230531160254.8+0i,15.199002251029+0i,9.7628684+0i,0.026258915+0i,2.0050359+0i,2.0360136+0i,1.0101e-05+0i,5.61e-07+0i,0.001301642+0i,0.001301305+0i,1.3607214+0i,3.6459099+0i,271.057+0i,291.977+0i,292.688+0i,292.329+0i,291.764+0i,15.199002251029+0i,NaN+0i,20.8451114201312+0i,-0.796782146511305+0i,421.743386163289+0i,-0.00302002322574868+0i,27.214428+0i,271.057+0i,291.977+0i,291.764+0i,292.329+0i,291.764+0i,0+0.222972234411998i
20230531160255.8+0i,16.2220001220703+0i,9.8044573+0i,0.026595604+0i,1.9555952+0i,2.0382327+0i,1.8967e-05+0i,1.1784e-05+0i,-0.00310288+0i,-0.00238424+0i,1.3616226+0i,3.6431162+0i,271.012+0i,291.971+0i,292.641+0i,292.337+0i,291.899+0i,16.2220001220703+0i,NaN+0i,20.960539204594+0i,-63.4693465334326+0i,449.81553004367+0i,0.0306484667970883+0i,27.232452+0i,271.012+0i,291.971+0i,291.899+0i,292.337+0i,291.899+0i,-0.0301967817370343+0i
20230531160256.6+0i,17.0739971101284+0i,9.7934518+0i,0.026012906+0i,2.0055315+0i,2.0383003+0i,-8.866e-06+0i,-2.132e-06+0i,0.70152352+0i,0.38034814+0i,1.3624449+0i,3.646811+0i,270.939+0i,291.98+0i,292.641+0i,292.345+0i,291.554+0i,17.0739971101284+0i,NaN+0i,20.9299940235023+0i,-0.168544218849547+0i,450.670686154848+0i,-0.0276206236671892+0i,27.248898+0i,270.939+0i,291.98+0i,291.554+0i,292.345+0i,291.554+0i,0+0.146632899478844i
20230531160257.5+0i,17.9100014269352+0i,9.7664618+0i,0.026543642+0i,2.0040108+0i,2.0369936+0i,1.1672e-05+0i,1.0774e-05+0i,-0.64094167+0i,-0.46590547+0i,1.363673+0i,3.6290017+0i,270.95+0i,291.977+0i,292.657+0i,292.345+0i,291.899+0i,17.9100014269352+0i,NaN+0i,20.855084711098+0i,-2.09623069301369+0i,434.140619727699+0i,0.0254523300698217+0i,27.27346+0i,270.95+0i,291.977+0i,291.899+0i,292.345+0i,291.899+0i,0.586806330578536+0i
20230531160258.5+0i,18.9059928059578+0i,9.804232+0i,0.026273505+0i,2.0055766+0i,2.0379511+0i,6.285e-06+0i,-1.12e-07+0i,0.001047666+0i,-0.10259307+0i,1.3650585+0i,3.6467998+0i,270.904+0i,291.982+0i,292.657+0i,292.345+0i,291.66+0i,18.9059928059578+0i,NaN+0i,20.9599138964027+0i,-0.111374060380058+0i,446.253222929652+0i,-0.00156104099160048+0i,27.30117+0i,270.904+0i,291.982+0i,291.66+0i,292.345+0i,291.66+0i,0-0.00900490361687811i
20230531160259.4+0i,19.8749978095293+0i,9.8046038+0i,0.026287309+0i,2.0044389+0i,2.0370612+0i,3.704e-06+0i,8.98e-07+0i,-0.027426076+0i,-0.000276647+0i,1.366568+0i,3.6487485+0i,270.873+0i,291.977+0i,292.643+0i,292.342+0i,291.694+0i,19.8749978095293+0i,NaN+0i,20.960945807568+0i,-1.55355785840493+0i,434.995775838874+0i,-0.000180657800361139+0i,27.33136+0i,270.873+0i,291.977+0i,291.694+0i,292.342+0i,291.694+0i,0-0.00343617170839306i
