20230601091401.6+0i,21.0509922355413+0i,9.8615161+0i,2.6849896+0i,2.0376892+0i,2.1084883+0i,1.0873137+0i,-0.16151516+0i,-0.06203202+0i,0.059369538+0i,1.2817482+0i,0.017753825+0i,-9.9e+37+0i,113.356+0i,483.554+0i,-9.9e+37+0i,165.168+0i,21.0509922355413+0i,NaN+0i,21.1189028753838+0i,40.5955534534178+0i,1338.56561413291+0i,265.866811011746+0i,25.634964+0i,-9.9e+37+0i,113.356+0i,165.168+0i,-9.9e+37+0i,165.168+0i,-11.6071847585519+0i
20230601091402.5+0i,21.9179961830378+0i,9.8610222+0i,2.0296007+0i,2.0377221+0i,2.1092675+0i,1.1225376+0i,0.15843327+0i,-0.002069223+0i,0.031581541+0i,1.2816494+0i,-0.015561549+0i,-9.9e+37+0i,825.504+0i,451.109+0i,-9.9e+37+0i,125.182+0i,21.9179961830378+0i,NaN+0i,21.1175320821494+0i,40.6372585135873+0i,1348.42267984045+0i,200.328719061227+0i,25.632988+0i,-9.9e+37+0i,825.504+0i,125.182+0i,-9.9e+37+0i,125.182+0i,1.3807120048161+0i
20230601091403.3+0i,22.7779995650053+0i,9.8609783+0i,1.9544443+0i,2.037755+0i,2.1093553+0i,0.19688788+0i,0.19474021+0i,0.055255892+0i,0.069304138+0i,1.2817262+0i,0.022900003+0i,-9.9e+37+0i,126.907+0i,-9.9e+37+0i,-9.9e+37+0i,436.139+0i,22.7779995650053+0i,NaN+0i,21.1174102400296+0i,40.6789635737578+0i,1349.53337076591+0i,192.813170577159+0i,25.634524+0i,-9.9e+37+0i,126.907+0i,436.139+0i,-9.9e+37+0i,436.139+0i,11.6977686518345+0i
20230601091404.2+0i,23.6329939216375+0i,9.8610112+0i,2.0699554+0i,2.0377221+0i,2.1093224+0i,-0.45813948+0i,0.42189709+0i,-0.052724172+0i,0.032458686+0i,1.2817372+0i,0.001107605+0i,-9.9e+37+0i,-9.9e+37+0i,907.585+0i,-9.9e+37+0i,-9.9e+37+0i,23.6329939216375+0i,NaN+0i,21.1175015522333+0i,40.6372585135873+0i,1349.11717792482+0i,204.364139922392+0i,25.634744+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0+2.36843120049473e-17i
20230601091405.2+0i,24.6369916945696+0i,9.8605613+0i,3.17097+0i,2.0386111+0i,2.1093553+0i,0.000613466+0i,0.72426436+0i,0.056224612+0i,0.021466319+0i,1.2817591+0i,-0.020283185+0i,-9.9e+37+0i,-9.9e+37+0i,746.732+0i,394.519+0i,-9.9e+37+0i,24.6369916945696+0i,NaN+0i,21.1162528786634+0i,41.7641824798739+0i,1349.53337076591+0i,314.464259246451+0i,25.635182+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,394.519+0i,-9.9e+37+0i,0+3.11137305134604e-17i
20230601091406.2+0i,25.5939971655607+0i,9.8601003+0i,1.9059902+0i,2.0386001+0i,2.1093773+0i,0.00037746+0i,0.65890624+0i,0.057684961+0i,-0.029411849+0i,1.2817152+0i,-0.011511949+0i,9.9e+37+0i,266.54+0i,865.414+0i,290.165+0i,-9.9e+37+0i,25.5939971655607+0i,NaN+0i,21.1149733976327+0i,41.7502385387838+0i,1349.81167600919+0i,187.967819578417+0i,25.634304+0i,9.9e+37+0i,266.54+0i,-9.9e+37+0i,290.165+0i,-9.9e+37+0i,10.9135728702373+0i
20230601091407+0i,26.4419909566641+0i,9.8598479+0i,2.3453929+0i,2.038655+0i,2.1092785+0i,-0.53495538+0i,0.10307951+0i,-0.046549535+0i,-0.041262633+0i,1.2817482+0i,-0.01504643+0i,-9.9e+37+0i,1059.669+0i,1301.743+0i,857.745+0i,-9.9e+37+0i,26.4419909566641+0i,NaN+0i,21.1142728748298+0i,41.8198314811339+0i,1348.56183246209+0i,231.907554529537+0i,25.634964+0i,-9.9e+37+0i,1059.669+0i,-9.9e+37+0i,857.745+0i,-9.9e+37+0i,7.95808461933677+0i
20230601091407.9+0i,27.3049917072058+0i,9.8593869+0i,1.6753194+0i,2.038633+0i,2.1094431+0i,0.5483879+0i,0.2179806+0i,-0.010258572+0i,-0.03665323+0i,1.2815067+0i,0.007730948+0i,-9.9e+37+0i,456.746+0i,960.619+0i,861.958+0i,-9.9e+37+0i,27.3049917072058+0i,NaN+0i,21.1129933937991+0i,41.7919435989534+0i,1350.64406169138+0i,164.901020460062+0i,25.630134+0i,-9.9e+37+0i,456.746+0i,-9.9e+37+0i,861.958+0i,-9.9e+37+0i,9.54479015852419+0i
20230601091408.7+0i,28.1649950891733+0i,9.8591126+0i,1.983429+0i,2.0386001+0i,2.1094102+0i,0.53832235+0i,0.36779819+0i,-0.041806273+0i,0.028038749+0i,1.2814957+0i,0.020081047+0i,-9.9e+37+0i,-9.9e+37+0i,750.955+0i,226.193+0i,-9.9e+37+0i,28.1649950891733+0i,NaN+0i,21.1122320887086+0i,41.7502385387838+0i,1350.22786885029+0i,195.711605283268+0i,25.629914+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,226.193+0i,-9.9e+37+0i,0+2.91102839454736e-17i
20230601091409.6+0i,29.0159963071346+0i,9.8590248+0i,2.6036985+0i,2.038633+0i,2.1093663+0i,0.31204067+0i,0.61086198+0i,-0.015225312+0i,-0.009676577+0i,1.2814738+0i,-0.011109056+0i,-9.9e+37+0i,-9.9e+37+0i,745.709+0i,691.989+0i,-9.9e+37+0i,29.0159963071346+0i,NaN+0i,21.1119884044689+0i,41.7919435989534+0i,1349.67252338755+0i,257.737799997738+0i,25.629476+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,691.989+0i,-9.9e+37+0i,0+3.37382370763486e-17i
